case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
3,,,4699,
4,,,4699,
5,,,4699,
6,,,4699,
7,,,4699,
8,,,4699,
9,,,4699,
10,,,4699,
1,,,,10766
2,,,,10766
3,,,,10766
4,,,,10766
5,,,,10766
6,,,,10766
7,,,,10766
8,,,,10766
9,,,,10766
10,,,,10766
1,3201,,,
2,3201,,,
3,3201,,,
4,3201,,,
5,3201,,,
6,3201,,,
7,3201,,,
8,3201,,,
9,3201,,,
10,3201,,,
1,,2506,,
2,,2506,,
3,,2506,,
4,,2506,,
5,,2506,,
6,,2506,,
7,,2506,,
8,,2506,,
9,,2506,,
10,,2506,,
1,,,4699,
2,,,4699,
3,,,4699,
4,,,4699,
5,,,4699,
6,,,4699,
7,,,4699,
8,,,4699,
9,,,4699,
10,,,4699,
1,,,,10766
2,,,,10766
3,,,,10766
4,,,,10766
5,,,,10766
6,,,,10766
7,,,,10766
8,,,,10766
9,,,,10766
10,,,,10766
1,3201,,,
2,3201,,,
3,3201,,,
4,3201,,,
5,3201,,,
6,3201,,,
7,3201,,,
8,3201,,,
9,3201,,,
10,3201,,,
1,,2506,,
2,,2506,,
3,,2506,,
4,,2506,,
5,,2506,,
6,,2506,,
7,,2506,,
8,,2506,,
9,,2506,,
10,,2506,,
1,,,4699,
2,,,4699,
3,,,4699,
4,,,4699,
5,,,4699,
6,,,4699,
7,,,4699,
8,,,4699,
9,,,4699,
10,,,4699,
1,,,,10766
2,,,,10766
3,,,,10766
4,,,,10766
5,,,,10766
6,,,,10766
7,,,,10766
8,,,,10766
9,,,,10766
10,,,,10766
1,3201,,,
2,3201,,,
3,3201,,,
4,3201,,,
5,3201,,,
6,3201,,,
7,3201,,,
8,3201,,,
9,3201,,,
10,3201,,,
1,,2506,,
2,,2506,,
3,,2506,,
4,,2506,,
5,,2506,,
6,,2506,,
7,,2506,,
8,,2506,,
9,,2506,,
10,,2506,,
1,,,4699,
2,,,4699,
3,,,4699,
4,,,4699,
5,,,4699,
6,,,4699,
7,,,4699,
8,,,4699,
9,,,4699,
10,,,4699,
1,,,,10766
2,,,,10766
3,,,,10766
4,,,,10766
5,,,,10766
6,,,,10766
7,,,,10766
8,,,,10766
9,,,,10766
10,,,,10766
1,3201,,,
2,3201,,,
3,3201,,,
4,3201,,,
5,3201,,,
6,3201,,,
7,3201,,,
8,3201,,,
9,3201,,,
10,3201,,,
1,,2506,,
2,,2506,,
3,,2506,,
4,,2506,,
5,,2506,,
6,,2506,,
7,,2506,,
8,,2506,,
9,,2506,,
10,,2506,,
1,,,4699,
2,,,4699,
3,,,4699,
4,,,4699,
5,,,4699,
6,,,4699,
7,,,4699,
8,,,4699,
9,,,4699,
10,,,4699,
1,,,,10766
2,,,,10766
3,,,,10766
4,,,,10766
5,,,,10766
6,,,,10766
7,,,,10766
8,,,,10766
9,,,,10766
10,,,,10766
1,3201,,,
2,3201,,,
3,3201,,,
4,3201,,,
5,3201,,,
6,3201,,,
7,3201,,,
8,3201,,,
9,3201,,,
10,3201,,,
1,,2506,,
2,,2506,,
3,,2506,,
4,,2506,,
5,,2506,,
6,,2506,,
7,,2506,,
8,,2506,,
9,,2506,,
10,,2506,,
1,,,4699,
2,,,4699,
3,,,4699,
4,,,4699,
5,,,4699,
6,,,4699,
7,,,4699,
8,,,4699,
9,,,4699,
10,,,4699,
1,,,,10766
2,,,,10766
3,,,,10766
4,,,,10766
5,,,,10766
6,,,,10766
7,,,,10766
8,,,,10766
9,,,,10766
10,,,,10766
1,3201,,,
2,3201,,,
3,3201,,,
4,3201,,,
5,3201,,,
6,3201,,,
7,3201,,,
8,3201,,,
9,3201,,,
10,3201,,,
1,,2506,,
2,,2506,,
3,,2506,,
4,,2506,,
5,,2506,,
6,,2506,,
7,,2506,,
8,,2506,,
9,,2506,,
10,,2506,,
1,,,4699,
2,,,4699,
3,,,4699,
4,,,4699,
5,,,4699,
6,,,4699,
7,,,4699,
8,,,4699,
9,,,4699,
10,,,4699,
1,,,,10766
2,,,,10766
3,,,,10766
4,,,,10766
5,,,,10766
6,,,,10766
7,,,,10766
8,,,,10766
9,,,,10766
10,,,,10766
