case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
size 7,3201,,,
size 8,3201,,,
size 9,3201,,,
size 10,3201,,,
size 1,3201,,,
size 2,3201,,,
size 3,3201,,,
size 4,3201,,,
size 5,3201,,,
size 6,3201,,,
size 7,3201,,,
size 8,3201,,,
size 9,3201,,,
size 10,3201,,,
size 1,3201,,,
size 2,3201,,,
size 3,3201,,,
size 4,3201,,,
size 5,3201,,,
size 6,3201,,,
size 7,3201,,,
size 8,3201,,,
size 9,3201,,,
size 10,3201,,,
size 1,3201,,,
size 2,3201,,,
size 3,3201,,,
size 4,3201,,,
size 5,3201,,,
size 6,3201,,,
size 7,3201,,,
size 8,3201,,,
size 9,3201,,,
size 10,3201,,,
size 1,3201,,,
size 2,3201,,,
size 3,3201,,,
size 4,3201,,,
size 5,3201,,,
size 6,3201,,,
size 7,3201,,,
size 8,3201,,,
size 9,3201,,,
size 10,3201,,,
size 1,3201,,,
size 2,3201,,,
size 3,3201,,,
size 4,3201,,,
size 5,3201,,,
size 6,3201,,,
size 7,3201,,,
size 8,3201,,,
size 9,3201,,,
size 10,3201,,,
size 1,3201,,,
size 2,3201,,,
size 3,3201,,,
size 4,3201,,,
size 5,3201,,,
size 6,3201,,,
size 7,3201,,,
size 8,3201,,,
size 9,3201,,,
size 10,3201,,,
size 1,3201,,,
size 2,3201,,,
size 3,3201,,,
size 4,3201,,,
size 5,3201,,,
size 6,3201,,,
size 7,3201,,,
size 8,3201,,,
size 9,3201,,,
size 10,3201,,,
size 1,3201,,,
size 2,3201,,,
size 3,3201,,,
size 4,3201,,,
size 5,3201,,,
size 6,3201,,,
size 7,3201,,,
size 8,3201,,,
size 9,3201,,,
size 10,3201,,,
size 1,3201,,,
size 2,3201,,,
size 3,3201,,,
size 4,3201,,,
size 5,3201,,,
size 6,3201,,,
size 7,3201,,,
size 8,3201,,,
size 9,3201,,,
size 10,3201,,,
size 1,3201,,,
size 2,3201,,,
size 3,3201,,,
size 4,3201,,,
size 5,3201,,,
size 6,3201,,,
size 7,3201,,,
size 8,3201,,,
size 9,3201,,,
size 10,3201,,,
size 1,3201,,,
size 2,3201,,,
size 3,3201,,,
size 4,3201,,,
size 5,3201,,,
size 6,3201,,,
size 7,3201,,,
size 8,3201,,,
size 9,3201,,,
size 10,3201,,,
size 1,3201,,,
size 2,3201,,,
size 3,3201,,,
size 4,3201,,,
size 5,3201,,,
size 6,3201,,,
size 7,3201,,,
size 8,3201,,,
size 9,3201,,,
size 10,3201,,,
size 1,3201,,,
size 2,3201,,,
size 3,3201,,,
size 4,3201,,,
size 5,3201,,,
size 6,3201,,,
size 7,3201,,,
size 8,3201,,,
size 9,3201,,,
size 10,3201,,,
size 1,3201,,,
size 2,3201,,,
size 3,3201,,,
size 4,3201,,,
size 5,3201,,,
size 6,3201,,,
size 7,3201,,,
size 8,3201,,,
size 9,3201,,,
size 10,3201,,,
size 1,3201,,,
size 2,3201,,,
size 3,3201,,,
size 4,3201,,,
size 5,3201,,,
size 6,3201,,,
size 7,3201,,,
size 8,3201,,,
size 9,3201,,,
size 10,3201,,,
size 1,3201,,,
size 2,3201,,,
size 3,3201,,,
size 4,3201,,,
size 5,3201,,,
size 6,3201,,,
size 7,3201,,,
size 8,3201,,,
size 9,3201,,,
size 10,3201,,,
size 1,3201,,,
size 2,3201,,,
size 3,3201,,,
size 4,3201,,,
size 5,3201,,,
size 6,3201,,,
size 7,3201,,,
size 8,3201,,,
size 9,3201,,,
size 10,3201,,,
size 1,3201,,,
size 2,3201,,,
size 3,3201,,,
size 4,3201,,,
size 5,3201,,,
size 6,3201,,,
size 7,3201,,,
size 8,3201,,,
size 9,3201,,,
size 10,3201,,,
size 1,3201,,,
size 2,3201,,,
size 3,3201,,,
size 4,3201,,,
size 5,3201,,,
size 6,3201,,,
size 7,3201,,,
size 8,3201,,,
size 9,3201,,,
size 10,3201,,,
size 1,3201,,,
size 2,3201,,,
size 3,3201,,,
size 4,3201,,,
size 5,3201,,,
size 6,3201,,,
size 7,3201,,,
size 8,3201,,,
size 9,3201,,,
size 10,3201,,,
size 1,3201,,,
size 2,3201,,,
size 3,3201,,,
size 4,3201,,,
size 5,3201,,,
size 6,3201,,,
size 7,3201,,,
size 8,3201,,,
size 9,3201,,,
size 10,3201,,,
size 1,3201,,,
size 2,3201,,,
size 3,3201,,,
size 4,3201,,,
size 5,3201,,,
size 6,3201,,,
size 7,3201,,,
size 8,3201,,,
size 9,3201,,,
size 10,3201,,,
size 1,3201,,,
size 2,3201,,,
size 3,3201,,,
size 4,3201,,,
size 5,3201,,,
size 6,3201,,,
size 7,3201,,,
size 8,3201,,,
size 9,3201,,,
size 10,3201,,,
size 1,3201,,,
size 2,3201,,,
size 3,3201,,,
size 4,3201,,,
size 5,3201,,,
size 6,3201,,,
size 7,3201,,,
size 8,3201,,,
size 9,3201,,,
size 10,3201,,,
size 1,3201,,,
size 2,3201,,,
size 3,3201,,,
size 4,3201,,,
size 5,3201,,,
size 6,3201,,,
size 7,3201,,,
size 8,3201,,,
size 9,3201,,,
size 10,3201,,,
size 1,3201,,,
size 2,3201,,,
size 3,3201,,,
size 4,3201,,,
size 5,3201,,,
size 6,3201,,,
size 7,3201,,,
size 8,3201,,,
size 9,3201,,,
size 10,3201,,,
size 1,3201,,,
size 2,3201,,,
size 3,3201,,,
size 4,3201,,,
size 5,3201,,,
size 6,3201,,,
size 7,3201,,,
size 8,3201,,,
size 9,3201,,,
size 10,3201,,,
size 1,3201,,,
size 2,3201,,,
size 3,3201,,,
size 4,3201,,,
size 5,3201,,,
size 6,3201,,,
size 7,3201,,,
size 8,3201,,,
size 9,3201,,,
size 10,3201,,,
size 1,3201,,,
size 2,3201,,,
size 3,3201,,,
size 4,3201,,,
size 5,3201,,,
size 6,3201,,,
size 7,3201,,,
size 8,3201,,,
size 9,3201,,,
size 10,3201,,,
size 1,3201,,,
size 2,3201,,,
size 3,3201,,,
size 4,3201,,,
size 5,3201,,,
size 6,3201,,,
size 7,3201,,,
size 8,3201,,,
size 9,3201,,,
size 10,3201,,,
size 1,3201,,,
size 2,3201,,,
size 3,3201,,,
size 4,3201,,,
size 5,3201,,,
size 6,3201,,,
size 7,3201,,,
size 8,3201,,,
size 9,3201,,,
size 10,3201,,,
size 1,3201,,,
size 2,3201,,,
size 3,3201,,,
size 4,3201,,,
size 5,3201,,,
size 6,3201,,,
size 7,3201,,,
size 8,3201,,,
size 9,3201,,,
size 10,3201,,,
size 1,3201,,,
size 2,3201,,,
size 3,3201,,,
size 4,3201,,,
size 5,3201,,,
size 6,3201,,,
size 7,3201,,,
size 8,3201,,,
size 9,3201,,,
size 10,3201,,,
size 1,3201,,,
size 2,3201,,,
size 3,3201,,,
size 4,3201,,,
size 5,3201,,,
size 6,3201,,,
size 7,3201,,,
size 8,3201,,,
size 9,3201,,,
size 10,3201,,,
size 1,3201,,,
size 2,3201,,,
size 3,3201,,,
size 4,3201,,,
size 5,3201,,,
size 6,3201,,,
size 7,3201,,,
size 8,3201,,,
size 9,3201,,,
size 10,3201,,,
size 1,3201,,,
size 2,3201,,,
size 3,3201,,,
size 4,3201,,,
size 5,3201,,,
size 6,3201,,,
size 7,3201,,,
size 8,3201,,,
size 9,3201,,,
size 10,3201,,,
size 1,3201,,,
size 2,3201,,,
size 3,3201,,,
size 4,3201,,,
size 5,3201,,,
size 6,3201,,,
size 7,3201,,,
size 8,3201,,,
size 9,3201,,,
size 10,3201,,,
size 1,3201,,,
size 2,3201,,,
size 3,3201,,,
size 4,3201,,,
size 5,3201,,,
size 6,3201,,,
size 7,3201,,,
size 8,3201,,,
size 9,3201,,,
size 10,3201,,,
size 1,3201,,,
size 2,3201,,,
size 3,3201,,,
size 4,3201,,,
size 5,3201,,,
size 6,3201,,,
size 7,3201,,,
size 8,3201,,,
size 9,3201,,,
size 10,3201,,,
size 1,3201,,,
size 2,3201,,,
size 3,3201,,,
size 4,3201,,,
size 5,3201,,,
size 6,3201,,,
size 7,3201,,,
size 8,3201,,,
size 9,3201,,,
size 10,3201,,,
size 1,3201,,,
size 2,3201,,,
size 3,3201,,,
size 4,3201,,,
size 5,3201,,,
size 6,3201,,,
size 7,3201,,,
size 8,3201,,,
size 9,3201,,,
size 10,3201,,,
size 1,3201,,,
size 2,3201,,,
size 3,3201,,,
size 4,3201,,,
size 5,3201,,,
size 6,3201,,,
size 7,3201,,,
size 8,3201,,,
size 9,3201,,,
size 10,3201,,,
size 1,3201,,,
size 2,3201,,,
size 3,3201,,,
size 4,3201,,,
size 5,3201,,,
size 6,3201,,,
size 7,3201,,,
size 8,3201,,,
size 9,3201,,,
size 10,3201,,,
size 1,3201,,,
size 2,3201,,,
size 3,3201,,,
size 4,3201,,,
size 5,3201,,,
size 6,3201,,,
size 7,3201,,,
size 8,3201,,,
size 9,3201,,,
size 10,3201,,,
size 1,3201,,,
size 2,3201,,,
size 3,3201,,,
size 4,3201,,,
size 5,3201,,,
size 6,3201,,,
size 7,3201,,,
size 8,3201,,,
size 9,3201,,,
size 10,3201,,,
size 1,3201,,,
size 2,3201,,,
size 3,3201,,,
size 4,3201,,,
size 5,3201,,,
size 6,3201,,,
size 7,3201,,,
size 8,3201,,,
size 9,3201,,,
size 10,3201,,,
size 1,3201,,,
size 2,3201,,,
size 3,3201,,,
size 4,3201,,,
size 5,3201,,,
size 6,3201,,,
size 7,3201,,,
size 8,3201,,,
size 9,3201,,,
size 10,3201,,,
size 1,3201,,,
size 2,3201,,,
size 3,3201,,,
size 4,3201,,,
size 5,3201,,,
size 6,3201,,,
size 7,3201,,,
size 8,3201,,,
size 9,3201,,,
size 10,3201,,,
size 1,3201,,,
size 2,3201,,,
size 3,3201,,,
size 4,3201,,,
size 5,3201,,,
size 6,3201,,,
size 7,3201,,,
size 8,3201,,,
size 9,3201,,,
size 10,3201,,,
size 1,3201,,,
size 2,3201,,,
size 3,3201,,,
size 4,3201,,,
size 5,3201,,,
size 6,3201,,,
size 7,3201,,,
size 8,3201,,,
size 9,3201,,,
size 10,3201,,,
size 1,3201,,,
size 2,3201,,,
size 3,3201,,,
size 4,3201,,,
size 5,3201,,,
size 6,3201,,,
size 7,3201,,,
size 8,3201,,,
size 9,3201,,,
size 10,3201,,,
size 1,,2506,,
size 2,,2506,,
size 3,,2506,,
size 4,,2506,,
size 5,,2506,,
size 6,,2506,,
size 7,,2506,,
size 8,,2506,,
size 9,,2506,,
size 10,,2506,,
size 1,,2506,,
size 2,,2506,,
size 3,,2506,,
size 4,,2506,,
size 5,,2506,,
size 6,,2506,,
size 7,,2506,,
size 8,,2506,,
size 9,,2506,,
size 10,,2506,,
size 1,,2506,,
size 2,,2506,,
size 3,,2506,,
size 4,,2506,,
size 5,,2506,,
size 6,,2506,,
size 7,,2506,,
size 8,,2506,,
size 9,,2506,,
size 10,,2506,,
size 1,,2506,,
size 2,,2506,,
size 3,,2506,,
size 4,,2506,,
size 5,,2506,,
size 6,,2506,,
size 7,,2506,,
size 8,,2506,,
size 9,,2506,,
size 10,,2506,,
size 1,,2506,,
size 2,,2506,,
size 3,,2506,,
size 4,,2506,,
size 5,,2506,,
size 6,,2506,,
size 7,,2506,,
size 8,,2506,,
size 9,,2506,,
size 10,,2506,,
size 1,,2506,,
size 2,,2506,,
size 3,,2506,,
size 4,,2506,,
size 5,,2506,,
size 6,,2506,,
size 7,,2506,,
size 8,,2506,,
size 9,,2506,,
size 10,,2506,,
size 1,,2506,,
size 2,,2506,,
size 3,,2506,,
size 4,,2506,,
size 5,,2506,,
size 6,,2506,,
size 7,,2506,,
size 8,,2506,,
size 9,,2506,,
size 10,,2506,,
size 1,,2506,,
size 2,,2506,,
size 3,,2506,,
size 4,,2506,,
size 5,,2506,,
size 6,,2506,,
size 7,,2506,,
size 8,,2506,,
size 9,,2506,,
size 10,,2506,,
size 1,,2506,,
size 2,,2506,,
size 3,,2506,,
size 4,,2506,,
size 5,,2506,,
size 6,,2506,,
size 7,,2506,,
size 8,,2506,,
size 9,,2506,,
size 10,,2506,,
size 1,,2506,,
size 2,,2506,,
size 3,,2506,,
size 4,,2506,,
size 5,,2506,,
size 6,,2506,,
size 7,,2506,,
size 8,,2506,,
size 9,,2506,,
size 10,,2506,,
size 1,,2506,,
size 2,,2506,,
size 3,,2506,,
size 4,,2506,,
size 5,,2506,,
size 6,,2506,,
size 7,,2506,,
size 8,,2506,,
size 9,,2506,,
size 10,,2506,,
size 1,,2506,,
size 2,,2506,,
size 3,,2506,,
size 4,,2506,,
size 5,,2506,,
size 6,,2506,,
size 7,,2506,,
size 8,,2506,,
size 9,,2506,,
size 10,,2506,,
size 1,,2506,,
size 2,,2506,,
size 3,,2506,,
size 4,,2506,,
size 5,,2506,,
size 6,,2506,,
size 7,,2506,,
size 8,,2506,,
size 9,,2506,,
size 10,,2506,,
size 1,,2506,,
size 2,,2506,,
size 3,,2506,,
size 4,,2506,,
size 5,,2506,,
size 6,,2506,,
size 7,,2506,,
size 8,,2506,,
size 9,,2506,,
size 10,,2506,,
size 1,,2506,,
size 2,,2506,,
size 3,,2506,,
size 4,,2506,,
size 5,,2506,,
size 6,,2506,,
size 7,,2506,,
size 8,,2506,,
size 9,,2506,,
size 10,,2506,,
size 1,,2506,,
size 2,,2506,,
size 3,,2506,,
size 4,,2506,,
size 5,,2506,,
size 6,,2506,,
size 7,,2506,,
size 8,,2506,,
size 9,,2506,,
size 10,,2506,,
size 1,,2506,,
size 2,,2506,,
size 3,,2506,,
size 4,,2506,,
size 5,,2506,,
size 6,,2506,,
size 7,,2506,,
size 8,,2506,,
size 9,,2506,,
size 10,,2506,,
size 1,,2506,,
size 2,,2506,,
size 3,,2506,,
size 4,,2506,,
size 5,,2506,,
size 6,,2506,,
size 7,,2506,,
size 8,,2506,,
size 9,,2506,,
size 10,,2506,,
size 1,,2506,,
size 2,,2506,,
size 3,,2506,,
size 4,,2506,,
size 5,,2506,,
size 6,,2506,,
size 7,,2506,,
size 8,,2506,,
size 9,,2506,,
size 10,,2506,,
size 1,,2506,,
size 2,,2506,,
size 3,,2506,,
size 4,,2506,,
size 5,,2506,,
size 6,,2506,,
size 7,,2506,,
size 8,,2506,,
size 9,,2506,,
size 10,,2506,,
size 1,,2506,,
size 2,,2506,,
size 3,,2506,,
size 4,,2506,,
size 5,,2506,,
size 6,,2506,,
size 7,,2506,,
size 8,,2506,,
size 9,,2506,,
size 10,,2506,,
size 1,,2506,,
size 2,,2506,,
size 3,,2506,,
size 4,,2506,,
size 5,,2506,,
size 6,,2506,,
size 7,,2506,,
size 8,,2506,,
size 9,,2506,,
size 10,,2506,,
size 1,,2506,,
size 2,,2506,,
size 3,,2506,,
size 4,,2506,,
size 5,,2506,,
size 6,,2506,,
size 7,,2506,,
size 8,,2506,,
size 9,,2506,,
size 10,,2506,,
size 1,,2506,,
size 2,,2506,,
size 3,,2506,,
size 4,,2506,,
size 5,,2506,,
size 6,,2506,,
size 7,,2506,,
size 8,,2506,,
size 9,,2506,,
size 10,,2506,,
size 1,,2506,,
size 2,,2506,,
size 3,,2506,,
size 4,,2506,,
size 5,,2506,,
size 6,,2506,,
size 7,,2506,,
size 8,,2506,,
size 9,,2506,,
size 10,,2506,,
size 1,,2506,,
size 2,,2506,,
size 3,,2506,,
size 4,,2506,,
size 5,,2506,,
size 6,,2506,,
size 7,,2506,,
size 8,,2506,,
size 9,,2506,,
size 10,,2506,,
size 1,,2506,,
size 2,,2506,,
size 3,,2506,,
size 4,,2506,,
size 5,,2506,,
size 6,,2506,,
size 7,,2506,,
size 8,,2506,,
size 9,,2506,,
size 10,,2506,,
size 1,,2506,,
size 2,,2506,,
size 3,,2506,,
size 4,,2506,,
size 5,,2506,,
size 6,,2506,,
size 7,,2506,,
size 8,,2506,,
size 9,,2506,,
size 10,,2506,,
size 1,,2506,,
size 2,,2506,,
size 3,,2506,,
size 4,,2506,,
size 5,,2506,,
size 6,,2506,,
size 7,,2506,,
size 8,,2506,,
size 9,,2506,,
size 10,,2506,,
size 1,,2506,,
size 2,,2506,,
size 3,,2506,,
size 4,,2506,,
size 5,,2506,,
size 6,,2506,,
size 7,,2506,,
size 8,,2506,,
size 9,,2506,,
size 10,,2506,,
size 1,,2506,,
size 2,,2506,,
size 3,,2506,,
size 4,,2506,,
size 5,,2506,,
size 6,,2506,,
size 7,,2506,,
size 8,,2506,,
size 9,,2506,,
size 10,,2506,,
size 1,,2506,,
size 2,,2506,,
size 3,,2506,,
size 4,,2506,,
size 5,,2506,,
size 6,,2506,,
size 7,,2506,,
size 8,,2506,,
size 9,,2506,,
size 10,,2506,,
size 1,,2506,,
size 2,,2506,,
size 3,,2506,,
size 4,,2506,,
size 5,,2506,,
size 6,,2506,,
size 7,,2506,,
size 8,,2506,,
size 9,,2506,,
size 10,,2506,,
size 1,,2506,,
size 2,,2506,,
size 3,,2506,,
size 4,,2506,,
size 5,,2506,,
size 6,,2506,,
size 7,,2506,,
size 8,,2506,,
size 9,,2506,,
size 10,,2506,,
size 1,,2506,,
size 2,,2506,,
size 3,,2506,,
size 4,,2506,,
size 5,,2506,,
size 6,,2506,,
size 7,,2506,,
size 8,,2506,,
size 9,,2506,,
size 10,,2506,,
size 1,,2506,,
size 2,,2506,,
size 3,,2506,,
size 4,,2506,,
size 5,,2506,,
size 6,,2506,,
size 7,,2506,,
size 8,,2506,,
size 9,,2506,,
size 10,,2506,,
size 1,,2506,,
size 2,,2506,,
size 3,,2506,,
size 4,,2506,,
size 5,,2506,,
size 6,,2506,,
size 7,,2506,,
size 8,,2506,,
size 9,,2506,,
size 10,,2506,,
size 1,,2506,,
size 2,,2506,,
size 3,,2506,,
size 4,,2506,,
size 5,,2506,,
size 6,,2506,,
size 7,,2506,,
size 8,,2506,,
size 9,,2506,,
size 10,,2506,,
size 1,,2506,,
size 2,,2506,,
size 3,,2506,,
size 4,,2506,,
size 5,,2506,,
size 6,,2506,,
size 7,,2506,,
size 8,,2506,,
size 9,,2506,,
size 10,,2506,,
size 1,,2506,,
size 2,,2506,,
size 3,,2506,,
